title,work experience,salary,region
Ведущий Backend разработчик,2.0,,Краснодар
Программист,5.0,,Санкт-Петербург
C++/Qt developer,2.0,,Москва
DevOps архитектор,5.0,,Москва
Старший аналитик данных / Senior Data Analyst,5.0,130000.0,Москва
Разработчик C++,5.0,,Москва
Разработчик C++,2.0,,Челябинск
Программист/Разработчик информационных систем на Oracle/django (Москва),5.0,,Москва
Разработчик full-stack,5.0,210000.0,Сочи
Big data developer (с функционалом DevOps),5.0,,Калининград
Developer С/С+ (Senior/Teamlead),7.0,,Санкт-Петербург
Разработчик C (удаленная работа),5.0,,Москва
ML-разработчик в команду разработки UGC,5.0,,Санкт-Петербург
Data инженер,5.0,,Москва
Руководитель IT-отдела / Team Lead,2.0,140000.0,Москва
Системный администратор Linux / DevOps инженер,5.0,160000.0,Москва
Бэкенд-разработчик (Ruby on Rails),2.0,,Москва
Java Developer (Server side),5.0,260000.0,Москва
Разработчик ETL,5.0,,Саратов
DevOps инженер,5.0,,Москва
Инженер-программист С++,2.0,,Нижний Новгород
DevOps engineer,5.0,,Москва
Аналитик-разработчик,2.0,,Москва
Senior Python Developer (Content team),5.0,,Москва
Linux-Developer,2.0,,Москва
Аналитик BI,5.0,,Москва
Программист PHP / Разработчик,5.0,,Черноголовка
Data engineer на продукт Антиспам (Big Data),2.0,,Москва
Senior Data Scientist,5.0,,Москва
UE4 Developer,2.0,,Москва
PHP developer (remote),5.0,265000.0,Москва
Разработчик C++/Математик,5.0,,Москва
С++ разработчик в Справочник,2.0,,Москва
DevOps / SRE,7.0,8750.0,Москва
Разработчик,2.0,,Санкт-Петербург
Data Scientist NLP,2.0,,Москва
Разработчик С++,2.0,,Москва
Application Security инженер (практика SAST),2.0,,Москва
Программист Java (embedded-системы),5.0,,Санкт-Петербург
DevOps Engineer (CI/CD),5.0,,Москва
Senior Backend Engineer,5.0,,Москва
Product analyst,2.0,,Москва
Программист/Наставник-тьютор в IT школу для детей,2.0,160000.0,Коммунарка
Системный инженер / программист,0.0,110000.0,Москва
DevOps Engineer,5.0,,Санкт-Петербург
"Junior Product manager/ Менеджер интеграции (SaaS, eCommerce)",2.0,,Москва
Data scientist,2.0,,Москва
Специалист по разработке на Golang (middle),2.0,,Москва
Middle С++ Developer (Разработчик С++),5.0,,Москва
"Веб VoIP инженер (SIP, Asterisk, Kamailio)",5.0,,Москва
DilOS (illumos based) developer,5.0,,Москва
Инженер по автоматизированному тестированию (Python),5.0,,Нижний Новгород
Разработчик встраиваемого/бортового ПО (C++),5.0,290000.0,Москва
"Разработчик баз данных (PostgreSQL, Python, PL/pgSQL, Bash)",5.0,,Москва
Ведущий программист,5.0,190000.0,Санкт-Петербург
DevOps инженер,5.0,,Москва
Frontend-разработчик (Mithril),5.0,,Санкт-Петербург
Golang Developer,2.0,,Москва
Веб-разработчик (JavaScript),0.0,,Новомосковск (Тульская область)
Hadoop разработчик,2.0,,Москва
Специалист по обработке данных / программист онлайн-анкет,2.0,,Москва
Data Scientist,2.0,,Москва
DevOps-инженер,5.0,,Москва
BackEnd Developer (Java),5.0,,Санкт-Петербург
Педагог (кружок программирования),2.0,180000.0,Жуковский
Инженер-программист,2.0,,Москва
Senior Backend разработчик / Senior Backend Developer,5.0,,Москва
"Online Tutor (Python, Scratch) with English/Bahasa",0.0,,Москва
Программист C,2.0,135000.0,Санкт-Петербург
Разработчик по нагрузочному тестированию (НТ),2.0,,Москва
Инженер-программист,2.0,,Санкт-Петербург
DevOps,2.0,,Москва
Разработчик Greenplum/Arenadata DB,2.0,,Нижний Новгород
DSP-инженер / алгоритмист,2.0,,Москва
Senior PHP Developer,5.0,,Москва
DevOps Engineer,5.0,,Санкт-Петербург
Программист С++,2.0,,Москва
Animation Programmer / Программист анимации,2.0,,Москва
Инженер по автоматизированному тестированию (Python),2.0,,Нижний Новгород
Разработчик баз данных в международную компанию,5.0,,Новосибирск
Преподаватель IT дисциплин (удалённо),0.0,,Москва
Разработчик ETL-процессов / Data Engineer (Hadoop),2.0,,Москва
BI Developer,5.0,,Москва
Senior Java Developer,5.0,6350.0,Санкт-Петербург
Robotics Software Engineer,5.0,,Москва
Системный архитектор,5.0,,Москва
Инженер-разработчик С++ (машинное зрение),2.0,,Москва
Data Engineer,2.0,,Москва
Разработчик на С++,5.0,,Новосибирск
DevOps инженер,5.0,,Москва
"PHP, Golang-разработчик",5.0,,Москва
"Senior Tools Programmer (UE4, С++)",5.0,,Санкт-Петербург
"Software Engineer (C, DDoS)",5.0,,Москва
Инженер-программист 1 категории,2.0,,Великий Новгород
Senior Developer (Team Lead),5.0,,Москва
Дежурный системный администратор (Linux\DevOps),2.0,293000.0,Москва
Middle DevOps engineer,2.0,,Москва
Frontend разработчик (JavaScript; Vue),2.0,,Москва
Программист JavaScript,2.0,85000.0,Ростов-на-Дону
Разработчик (GoLang),2.0,,Санкт-Петербург
DevOps / Build / Release Engineer,5.0,,Санкт-Петербург
"Тестировщик GTest, PyTest в отдел автоматического управления беспилотником",2.0,,Москва
DevOps Engineer (CI/CD),2.0,,Нижний Новгород
DevOps,2.0,,Санкт-Петербург
Специалист по инфраструктуре / Системный администратор / DevOps-инженер,5.0,250000.0,Москва
"Разработчик golang, Ozon Fresh",2.0,,Москва
Senior QA Automation Python (EP Console MTS),5.0,,Москва
Build Engineer/DevOps,5.0,,Москва
Ведущий инженер-программист в центр робототехники Сбера,5.0,420000.0,Москва
"Senior Tools Programmer (UE4, С++)",5.0,,Санкт-Петербург
Программист-разработчик,2.0,,Нижний Новгород
Программист (Фулл стэк разработчик),2.0,100000.0,Владивосток
Инженер по автоматизированному тестированию (Python),2.0,,Нижний Новгород
Разработчик ETL-процессов / Data Engineer (Hadoop),2.0,,Москва
Инженер-разработчик С++ (машинное зрение),2.0,,Москва
Javascript Developer,5.0,,Санкт-Петербург
"PHP, Golang-разработчик",5.0,,Москва
DevOps specialist,2.0,,Москва
Software Developer C++ (Middle /Middle +/Senior),5.0,275000.0,Москва
Администратор тестовых стендов (DevOps),2.0,,Москва
Разработчик баз данных в международную компанию,5.0,,Новосибирск
ML инженер,2.0,,Зеленоград
Программист С++,2.0,,Санкт-Петербург
Data Engineer/ Разработчик DWH/ ETL - разработчик,2.0,,Москва
Voip инженер (Asterisk),5.0,250000.0,Москва
"Flutter разработчик, Full stack",2.0,275000.0,Москва
Инженер ПЛИС (Verilog/System Verilog),2.0,,Санкт-Петербург
"Flutter разработчик, Full stack",2.0,275000.0,Сочи
Аналитик в команду внедрения ботов,2.0,,Москва
Senior QA engineer / тестировщик ПО,5.0,,Москва
Senior Data Scientist,5.0,,Москва
Robotics Software Engineer,5.0,,Москва
Системный администратор Linux/SRE(DevOPS),5.0,,Санкт-Петербург
Старший системный аналитик,5.0,,Москва
Инженер-программист С++ (проект REGUL),5.0,,Екатеринбург
Frontend Developer,2.0,,Санкт-Петербург
DevOps Engineer,5.0,,Москва
Системный администратор Linux,2.0,140000.0,Санкт-Петербург
DevOps,2.0,,Москва
IT-Рекрутер,0.0,,Санкт-Петербург
Разработчик интеграций в Доставку,5.0,,Санкт-Петербург
Team Lead,5.0,,Москва
Senior С++ Developer,5.0,,Казань
Инженер-программист С++ (проект REGUL),5.0,,Томск
Site Reliability Engineer (to Canada/Serbia),7.0,,Москва
Программист С++,2.0,,Санкт-Петербург
Системный аналитик,5.0,,Москва
Автор работ по программированию / программист,2.0,,Ярославль
Системный аналитик Киберразведки,2.0,,Самара
Разработчик ETL/DWH,2.0,,Москва
C/C++ developer (PON),2.0,,Новосибирск
Middle Perl Developer,5.0,,Санкт-Петербург
Системный аналитик Киберразведки,2.0,,Нижний Новгород
Инженер-программист ОС,2.0,,Муром
DevOps инженер,2.0,,Санкт-Петербург
Специалист поддержки (junior / middle level) / IT инженер / Middle Office Support Engineer (Murex),2.0,,Москва
Аналитик,2.0,,Москва
С++ разработчик,7.0,,Москва
Backend Developer (Golang),5.0,,Москва
Ведущий инженер (разработчик SDK в ОС Linux),2.0,160000.0,Москва
Инженер-программист группы сопровождения,5.0,260000.0,Москва
"Flutter разработчик, Full stack",2.0,275000.0,Сочи
Программист-тестировщик (отдел автотестирования),2.0,92000.0,Тюмень
Разработчик встраиваемых систем,7.0,250000.0,Москва
Разработчик DWH,2.0,,Москва
"Flutter разработчик, Full stack",2.0,275000.0,Санкт-Петербург
Junior C# Developer,2.0,,Самара
DevOps инженер (Junior / Middle / Senior),2.0,,Екатеринбург
Senior Java Developer,5.0,6350.0,Санкт-Петербург
QA Automation Engineer,2.0,170000.0,Самара
DataBase Administrator,2.0,,Санкт-Петербург
Программист компьютерного зрения middle,2.0,,Челябинск
Аналитик отдела валидации,2.0,,Москва
Senior С++ Developer,5.0,,Новосибирск
Системный программист,2.0,,Тольятти
Системный программист в отдел адаптации ОС Аврора,5.0,,Иннополис
IT-Рекрутер,0.0,,Санкт-Петербург
DevOps\SRE инженер,7.0,,Москва
Системный аналитик,5.0,,Москва
Business analyst,2.0,,Москва
Менеджер по аналитике,2.0,,Москва
DBA PostgreSQL/Администратор баз данных,2.0,,Москва
Системный инженер-программист С/С++,2.0,,Томск
Devops инженер,2.0,,Москва
Инженер технической поддержки,5.0,145000.0,Москва
Senior Developer С/С++,5.0,,Москва
Разработчик/программист Oracle,5.0,,Москва
Разработчик СЭД DIRECTUM RX (C#),2.0,,Санкт-Петербург
Frontend-разработчик,5.0,,Санкт-Петербург
"Релиз-инженер, Платформа",5.0,,Москва
Ведущий инженер-программист C++ (Linux),5.0,350000.0,Москва
Инженер-программист С++ (проект REGUL),5.0,,Санкт-Петербург
Системный программист в отдел адаптации ОС Аврора,5.0,,Казань
Data Engineer/Support Engineer,2.0,,Хабаровск
Middle Perl Developer,5.0,,Санкт-Петербург
Системный аналитик (Графовая платформа),5.0,,Москва
Программист - архитектор баз данных (Хранилище и BI),2.0,,Москва
Тестировщик,2.0,,Санкт-Петербург
Системный инженер-программист С/С++,2.0,,Екатеринбург
CRM-аналитик,5.0,,Москва
QA Automation Engineer,5.0,,Москва
Head of DevOps,7.0,,Москва
Инженер по тестированию (Backend),5.0,,Самара
Senior Go Developer,5.0,,Москва
Middle C++ Developer/Программист С++,5.0,220000.0,Москва
Инженер-программист,2.0,165000.0,Сестрорецк
Senior С++ Developer,5.0,,Новосибирск
Senior ML Engineer,5.0,,Нижний Новгород
Системный программист,2.0,,Тольятти
Системный программист в отдел адаптации ОС Аврора,5.0,,Иннополис
IT-Рекрутер,0.0,,Санкт-Петербург
DevOps\SRE инженер,7.0,,Москва
Системный аналитик,5.0,,Москва
Инженер по тестированию (речевая аналитика),2.0,,Санкт-Петербург
Администратор тестовых стендов (DevOps),2.0,,Москва
Старший аналитик,5.0,,Санкт-Петербург
Devops Engineer | SRE,2.0,,Москва
Старший QA-инженер,5.0,,Москва
Head of DevOps,7.0,,Москва
Программист C#,2.0,,Санкт-Петербург
Технический писатель,5.0,,Москва
Прикладной разработчик линии сопровождения,2.0,,Ижевск
Ведущий системный инженер Linux (Senior DBA),5.0,,Москва
Web- аналитик,5.0,,Москва
С/С++ Developer (Wireless),2.0,,Новосибирск
Менеджер пробных уроков в офис (школа программирования),0.0,65000.0,Казань
Техник (начинающий разработчик ПЛИС),2.0,85000.0,Москва
Bitrix разработчик (Senior),5.0,,Москва
BIM-менеджер (ведущий разработчик информационных моделей),2.0,,Москва
Senior Go Developer,5.0,,Москва
Разработчик архитектурного репозитория,2.0,,Москва
Site Reliability Engineer (to Canada/Serbia),7.0,,Санкт-Петербург
Senior .Net разработчик,7.0,,Ульяновск
Ведущий тестировщик (Зеленоград),2.0,,Москва
Эксперт (разработчик),5.0,,Москва
Database administrator/Администратор баз данных,5.0,,Санкт-Петербург
Mathematician,2.0,,Москва
Аналитик (направление речевых технологий),2.0,,Екатеринбург
Разработчик Back end developer / Full stack developer / IT administrator С# (Remote),2.0,,Тверь
Middle .Net разработчик,5.0,,Ижевск
Старший аналитик,5.0,,Санкт-Петербург
Web-программист,2.0,75000.0,Иркутск
Инженер программных решений,2.0,,Москва
Разработчик ETL,2.0,,Челябинск
C# / WPF разработчик GUI-приложений для управления лазерными станками,0.0,,Новосибирск
FullStack SAP/ABAP Developer (to Montenegro),5.0,,Санкт-Петербург
Руководитель направления информационной безопасности ( Information Security Officer),5.0,,Москва
Разработчик QlikView/Qlik Sense,2.0,,Москва
PHP-программист (Backend-разработчик),2.0,,Москва
Senior Security Researcher ICS CERT,5.0,,Москва
Principal Programmer,5.0,,Калининград
QA инженер (web),2.0,,Уфа
Аналитик-разработчик (ERP),2.0,,Владивосток
Java developer (to Yerevan),5.0,,Москва
Программист 1С (Junior),2.0,,Москва
Инженер-Программист (Микроконтроллеры),2.0,,Челябинск
Инженер по ИБ,5.0,,Москва
Trader (remote),2.0,,Краснодар
.Net Разработчик (проект REGUL),5.0,,Екатеринбург
Инженер по тестированию ПО,2.0,,Екатеринбург
Trader (remote),2.0,,Ростов-на-Дону
Руководитель группы разработки (TeamLead),7.0,,Санкт-Петербург
Инженер по внедрению SIEM,2.0,,Санкт-Петербург
Ведущий инженер-программист ПЛИС,5.0,,Санкт-Петербург
"Bitrix разработчик (Senior/middle, Remote)",5.0,,Москва
Системный аналитик / IT Аналитик,2.0,,Москва
Программист C# / Разработчик Unity (Middle/Senior),5.0,135000.0,Челябинск
"Manager, Site Reliability Engineering (to Canada/Serbia)",7.0,,Санкт-Петербург
Программист C# / Разработчик Unity (Junior),2.0,65000.0,Челябинск
Администратор базы данных / DBA,5.0,,Санкт-Петербург
QA Engineer/инженер по тестированию ПО,2.0,150000.0,Нижний Новгород
Сетевой инженер,0.0,,Красноярск
Senior cетевой инженер,5.0,,Москва
Главный инженер разработки (ЦФТ),5.0,,Москва
Product owner / Product manager (Remote),2.0,,Москва
Ведущий инженер - тестировщик,2.0,,Москва
Инженер по нагрузочному тестированию платформы 1С:Предприятие и типовых конфигураций,5.0,,Москва
Ведущий специалист по информационной безопасности (инженер-программист),5.0,95000.0,Екатеринбург
Сетевой инженер,2.0,,Новосибирск
Архитектор ПО,7.0,,Москва
IOS разработчик мобильных приложений (Middle / Senior),5.0,,Екатеринбург
Программист 1С,5.0,,Санкт-Петербург
Senior Manager Data Analytics,7.0,,Новосибирск
Аналитик по динамическому ценообразованию,5.0,,Санкт-Петербург
Product owner / Product manager (Remote),2.0,,Тверь
Project Мanager (EdTech),2.0,,Москва
Team Lead,5.0,,Челябинск
Business & Strategy Analyst,2.0,,Москва
Заместитель руководителя отдела валидации,5.0,,Москва
Инженер технической поддержки (Wireless),0.0,,Новосибирск
Куратор преподавателей учебного онлайн-отделения,2.0,100000.0,Москва
Программист 1 категории в отдел АСУ ТП (WinCC OA),5.0,156500.0,Уфа
Руководитель группы “Платформа DWH”,5.0,,Москва
Executive Technical Director,5.0,,Нижний Новгород
Executive Technical Director,5.0,,Калининград
Technical Director,5.0,,Петрозаводск
Бизнес-аналитик,2.0,,Екатеринбург
Technical Director,5.0,,Великий Новгород
Executive Technical Director,5.0,,Мурманск
DevOps Engineer,5.0,,Москва
Technical Director,5.0,,Казань
Technical Director,5.0,,Новосибирск
Technical Director,5.0,,Ростов-на-Дону
Сетевой инженер (направление ME),2.0,,Новосибирск
Technical Director,5.0,,Нижний Новгород
Руководитель группы мониторинга,5.0,,Москва
Technical Director,5.0,,Калининград
Employer relations & Career support manager,5.0,,Москва
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Брянск
Technical Director,5.0,,Мурманск
Графический дизайнер (начинающий UI/UX),2.0,,Сочи
Программист (отдел автоматизации Главной бухгалтерии),0.0,,Копейск
Программист (в отдел автоматизации Главной бухгалтерии),0.0,,Челябинск
Perl-разработчик,2.0,,Самара
QA эксперт (DevOps Tools),2.0,,Москва
Java разработчик Middle+/Senior,5.0,425000.0,Москва
Программист С++ (middle),5.0,,Санкт-Петербург
DevOps Engineer,2.0,425000.0,Санкт-Петербург
DevOps Specialist (ML Space),5.0,,Москва
Machine Learning Engineer,2.0,,Москва
Senior Golang developer,5.0,,Москва
Backend developer,2.0,,Москва
"DevOps/SRE engineer, remote",5.0,,Москва
Программист,2.0,,Москва
Аналитик DWH,5.0,,Москва
Инженер по эксплуатации OKD (SRE) Senior,5.0,,Москва
ML/CV engineers for Image/Video enhancement tasks,0.0,,Москва
DevOps инженер,5.0,,Нижний Новгород
Junior DevOps,2.0,,Москва
Senior Go/C++,0.0,,Москва
DevOps\SRE engineer,5.0,,Москва
Senior Devops Engineer,5.0,,Москва
Ведущий программист (С++),5.0,,Воронеж
Системный аналитик,2.0,,Москва
"Инженер по сопровождению прикладных систем Atlassian (Jira, Confluence)",2.0,,Москва
"PHP-программист (Backend, Middle)",2.0,,Москва
Senior Verification Engineer,7.0,,Зеленоград
Системный администратор/Devops,2.0,,Санкт-Петербург
Веб аналитик / маркетинг,2.0,,Москва
Senior Product Analyst,5.0,,Москва
Ведущий разработчик C++ (Team-lead),5.0,,Москва
Java-разработчик,2.0,,Муром
DevOps инженер,5.0,,Москва
Специалист по сопровождению ИС,2.0,,Самара
Инженер-программист,2.0,165000.0,Санкт-Петербург
Инженер-программист,2.0,165000.0,Сестрорецк
Front-end React Developer с web3,5.0,3500.0,Москва
"Разработчик BI, DWH",2.0,,Владимир
Техник–программист/программист (junior),0.0,45000.0,Новосибирск
Программист 1С,5.0,,Набережные Челны
Архитектор информационных систем (IT),5.0,,Москва
Senior C++ Browser Engineer (relocation to EU),7.0,,Москва
Automation Specialist (IT),2.0,,Санкт-Петербург
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Петрозаводск
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Владивосток
Специалист службы поддержки (с техническими знаниями),0.0,,Северодвинск
Специалист службы поддержки (с техническими знаниями),0.0,,Ханты-Мансийск
Junior PHP developer,2.0,,Санкт-Петербург
Специалист службы поддержки с техническими знаниями,0.0,,Благовещенск (Амурская область)
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Архангельск
Специалист службы поддержки с техническими знаниями,0.0,,Иркутск
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Чита
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Петрозаводск
Специалист службы поддержки (с техническими знаниями),0.0,,Сыктывкар
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Чита
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Архангельск
Специалист службы поддержки (с техническими знаниями),0.0,,Норильск
Специалист службы поддержки с техническими знаниями,0.0,,Сыктывкар
Специалист службы поддержки (с техническими знаниями),0.0,,Комсомольск-на-Амуре
Разработчик в команду робототехники Маркета,5.0,,Москва
Специалист службы поддержки (с техническими знаниями),0.0,,Уссурийск
Специалист службы поддержки (с техническими знаниями),0.0,,Абакан
Специалист службы поддержки (с техническими знаниями),0.0,,Южно-Сахалинск
Специалист службы поддержки с техническими знаниями,0.0,,Северодвинск
Инженер-программист,5.0,,Москва
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Комсомольск-на-Амуре
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Благовещенск (Амурская область)
Тестировщик (mobile) / QA Engineer,2.0,,Москва
Специалист службы поддержки с техническими знаниями,0.0,,Якутск
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Якутск
Специалист службы поддержки с техническими знаниями,0.0,,Нефтеюганск
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Братск
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Сыктывкар
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Нефтеюганск
Специалист службы поддержки с техническими знаниями,0.0,,Комсомольск-на-Амуре
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Абакан
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Петропавловск-Камчатский
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Уссурийск
Специалист службы поддержки с техническими знаниями,0.0,,Улан-Удэ
Специалист службы поддержки с техническими знаниями,0.0,,Уссурийск
Специалист службы поддержки (с техническими знаниями),0.0,,Кызыл
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,0.0,,Комсомольск-на-Амуре
Специалист службы поддержки с техническими знаниями,0.0,,Петропавловск-Камчатский
